Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2017,Maruti,Baleno ,58.61k,Petrol,Manual,TS-08,₹4.33 lakh
2014,Datsun,Go ,81.45k,Petrol,Manual,TS-08,₹1.29 lakh
2021,Tata,ALTROZ ,30.53k,Petrol,Manual,TS-08,₹4.90 lakh
2016,Tata,Tiago ,98.48k,Diesel,Manual,TS-07,₹2.71 lakh
2021,Hyundai, SANTRO,43.31k,Petrol,Manual,TS-09,₹3.84 lakh
2013,Hyundai,Eon ,49.13k,Petrol,Manual,AP-09,₹1.25 lakh
2014,Maruti,Swift ,67.88k,Petrol,Manual,AP-09,₹2.77 lakh
2019,Maruti,Swift ,72.44k,Petrol,Auto,TS-11,₹4.60 lakh
2014,Maruti,Swift ,1.2l,Diesel,Manual,TS-08,₹2.90 lakh
2016,Maruti,Swift ,94.10k,Petrol,Manual,TS-08,₹3.21 lakh
2022,Maruti,Baleno ,70.76k,Petrol,Manual,TS-13,₹5.00 lakh
2015,Maruti,Alto 800,72.44k,Petrol,Manual,TS-07,₹2.30 lakh
2019,Maruti,Baleno ,48.63k,Petrol,Manual,TS-07,₹4.75 lakh
2018,Renault,Kwid ,83.81k,Petrol,Manual,TS-07,₹2.09 lakh
2019,Maruti,Celerio ,82.21k,Petrol,Auto,TS-08,₹3.80 lakh
2021,Tata,ALTROZ ,74.08k,Petrol,Manual,TS-08,₹4.85 lakh
2021,Maruti,S PRESSO,1.0l,Petrol,Manual,TS-09,₹2.90 lakh
2014,Hyundai,Grand i10,40.87k,Petrol,Manual,TS-10,₹2.66 lakh
2020,Hyundai,Elite i20,96.29k,Petrol,Manual,TS-15,₹4.76 lakh
2018,Renault,Kwid ,74.41k,Petrol,Manual,TS-10,₹2.17 lakh
2019,Ford, Figo,1.0l,Petrol,Manual,TS-16,₹3.76 lakh
2018,Maruti,Alto 800,80.47k,Petrol,Manual,TS-07,₹2.33 lakh
2017,Ford, Figo,1.0l,Petrol,Manual,TS-07,₹2.39 lakh
2018,Datsun,Redi Go,63.26k,Petrol,Auto,TS-07,₹2.20 lakh
2017,Tata,Tiago ,1.0l,Petrol,Auto,TS-07,₹3.25 lakh
2017,Maruti,Celerio ,1.1l,Petrol,Auto,TS-10,₹3.20 lakh
2017,Hyundai,Grand i10,65.91k,Petrol,Manual,TS-08,₹3.80 lakh
2022,Tata,ALTROZ ,41.56k,Petrol,Auto,TS-03,₹6.38 lakh
2018,Maruti,Alto 800,54.39k,Petrol,Manual,TS-08,₹2.09 lakh
2021,Tata,ALTROZ ,55.66k,Petrol,Manual,TS-34,₹4.63 lakh
2022,Maruti,Swift ,71.61k,Petrol,Manual,TS-11,₹5.28 lakh
2019,Maruti,Swift ,98.62k,Petrol,Manual,TS-07,₹4.04 lakh
2016,Maruti,Alto 800,1.2l,Petrol,Manual,TS-07,₹1.80 lakh
2023,Maruti,Swift ,63.07k,Petrol,Manual,TS-07,₹6.27 lakh
2019,Tata,Tiago ,24.23k,Petrol,Manual,TS-09,₹4.53 lakh
2022,Maruti,Alto K10,92.70k,Petrol,Manual,TS-21,₹3.18 lakh
2017,Maruti,Alto K10,34.72k,Petrol,Auto,TS-12,₹2.73 lakh
2017,Hyundai,Elite i20,38.45k,Petrol,Manual,TS-07,₹4.44 lakh
2016,Renault,Kwid ,95.57k,Petrol,Manual,TS-10,₹2.18 lakh
2016,Renault,Kwid ,45.42k,Petrol,Manual,TS-15,₹2.17 lakh
2023,Hyundai, I20,11.02k,Petrol,Manual,TS-10,₹8.60 lakh
2013,Honda,Brio ,1.1l,Petrol,Manual,AP-10,₹1.75 lakh
2019,Maruti,Swift ,61.34k,Diesel,Auto,TS-09,₹5.91 lakh
2023,Hyundai,EXTER ,36.87k,Petrol,Auto,TS-08,₹7.73 lakh
2015,Maruti,Swift ,1.3l,Petrol,Manual,TS-07,₹3.09 lakh
2023,Maruti,FRONX ,1.1l,Petrol,Manual,TS-12,₹6.71 lakh
2022,Hyundai, I20,72.21k,Petrol,Auto,TS-08,₹6.90 lakh
2018,Hyundai,Elite i20,96.53k,Diesel,Manual,TS-07,₹5.51 lakh
2014,Chevrolet,Beat ,39.80k,Petrol,Manual,TS-07,₹2.07 lakh
2023,Hyundai, I20,51.24k,Petrol,Manual,TS-08,₹6.36 lakh
2015,Hyundai,Elite i20,92.60k,Diesel,Manual,TS-13,₹4.12 lakh
2017,Hyundai,Grand i10,28.93k,Petrol,Manual,TS-07,₹3.72 lakh
2018,Hyundai,Grand i10,69.98k,Petrol,Auto,TS-07,₹3.90 lakh
2022,Toyota,Glanza ,36.14k,Petrol,Auto,TS-08,₹7.00 lakh
2023,Maruti,Swift ,71.87k,CNG,Manual,TS-07,₹5.98 lakh
2014,Hyundai,Grand i10,71.30k,Petrol,Manual,TS-07,₹3.10 lakh
2019,Tata,Tiago ,66.61k,Petrol,Manual,TS-07,₹4.15 lakh
2016,Maruti,Baleno ,69.55k,Petrol,Manual,TS-08,₹4.20 lakh
2019,Maruti,Baleno ,66.11k,Petrol,Manual,TS-12,₹4.60 lakh
2020,Hyundai, I20,62.14k,Petrol,Manual,TS-08,₹5.26 lakh
2016,Maruti,Swift ,1.4l,Diesel,Manual,TS-11,₹3.82 lakh
2019,Maruti,Baleno ,19.00k,Petrol,Auto,TS-07,₹6.31 lakh
2021,Hyundai, I20,51.15k,Petrol,Auto,TS-07,₹7.29 lakh
2022,Maruti, Wagon-R,31.23k,Petrol,Auto,TS-07,₹5.39 lakh
2020,Tata,ALTROZ ,68.72k,Petrol,Manual,TS-29,₹4.75 lakh
2020,Renault,Kwid ,52.37k,Petrol,Manual,TS-11,₹3.02 lakh
2018,Datsun,Redi Go,48.64k,Petrol,Auto,TS-08,₹2.13 lakh
2021,Maruti,IGNIS ,13.85k,Petrol,Auto,TS-13,₹5.50 lakh
2015,Hyundai,Grand i10,79.24k,Petrol,Manual,TS-07,₹3.35 lakh
2020,Maruti,Baleno ,1.2l,Petrol,Manual,TS-12,₹5.05 lakh
2018,Maruti,Celerio ,72.59k,Petrol,Auto,TS-09,₹3.44 lakh
2016,Maruti,Wagon R,48.61k,Petrol,Manual,TS-08,₹2.96 lakh
2013,Hyundai,i10 ,38.04k,Petrol,Manual,AP-23,₹2.65 lakh
2017,Maruti,Alto K10,51.10k,Petrol,Auto,TS-11,₹2.59 lakh
2019,Renault,Kwid ,58.79k,Petrol,Auto,TS-07,₹2.83 lakh
2013,Maruti,Wagon R,58.56k,Petrol,Manual,AP-09,₹2.24 lakh
2015,Maruti,Wagon R,78.81k,Petrol,Manual,TS-10,₹2.54 lakh
2022,Maruti,Swift ,67.75k,Petrol,Manual,TS-08,₹5.07 lakh
2016,Maruti,Celerio ,45.91k,Petrol,Auto,TS-08,₹3.22 lakh
2015,Maruti,Swift ,75.97k,Petrol,Manual,TS-15,₹3.72 lakh
2016,Renault,Kwid ,62.55k,Petrol,Manual,TS-07,₹2.30 lakh
2018,Maruti,Swift ,73.39k,Petrol,Auto,TS-10,₹4.53 lakh
2023,Hyundai, I20,33.43k,Petrol,Auto,TS-07,₹7.25 lakh
2019,Datsun,Redi Go,35.67k,Petrol,Auto,TS-08,₹2.67 lakh
2019,Maruti,Swift ,1.1l,Petrol,Auto,TS-06,₹4.40 lakh
2017,Renault,Kwid ,48.59k,Petrol,Manual,TS-08,₹2.42 lakh
2017,Hyundai,Elite i20,70.91k,Petrol,Manual,TS-10,₹4.87 lakh
2021,Maruti,S PRESSO,1.2l,Petrol,Auto,TS-08,₹3.00 lakh
2013,Honda,Brio ,43.89k,Petrol,Manual,AP-09,₹2.37 lakh
2014,Hyundai,i20 ,1.3l,Petrol,Manual,TS-15,₹3.15 lakh
2018,Maruti,Baleno ,66.93k,Petrol,Auto,TS-08,₹4.67 lakh
2017,Maruti,Alto 800,40.03k,Petrol,Manual,TS-07,₹2.34 lakh
2019,Renault,Kwid ,34.78k,Petrol,Auto,TS-11,₹3.60 lakh
2015,Hyundai,Elite i20,87.78k,Petrol,Manual,TS-07,₹3.81 lakh
2016,Maruti,Alto K10,46.29k,Petrol,Manual,TS-08,₹2.28 lakh
2017,Hyundai,Elite i20,1.3l,Diesel,Manual,TS-08,₹4.45 lakh
2018,Renault,Kwid ,66.56k,Petrol,Manual,TS-08,₹2.78 lakh
2014,Hyundai,Elite i20,67.01k,Petrol,Manual,TS-09,₹3.30 lakh
2020,Renault,Kwid ,76.66k,Petrol,Auto,TS-09,₹3.60 lakh
2016,Hyundai,Grand i10,73.65k,Petrol,Manual,TS-07,₹3.34 lakh
2021,Maruti, Wagon-R,36.65k,Petrol,Auto,TS-29,₹4.75 lakh
2019,Renault,Kwid ,63.40k,Petrol,Auto,TS-19,₹2.85 lakh
2018,Renault,Kwid ,31.02k,Petrol,Manual,TS-05,₹2.51 lakh
2017,Maruti,Celerio ,87.26k,Petrol,Auto,TS-08,₹3.19 lakh
2017,Hyundai,Elite i20,94.61k,Petrol,Manual,TS-07,₹4.55 lakh
2018,Hyundai,i20 Active,98.74k,Petrol,Manual,TS-07,₹4.90 lakh
2019,Hyundai, SANTRO,37.44k,Petrol,Auto,TS-10,₹4.05 lakh
2014,Hyundai,Grand i10,99.12k,Petrol,Manual,TS-08,₹2.90 lakh
2015,Hyundai,Grand i10,42.74k,Petrol,Auto,TS-07,₹3.75 lakh
2016,Maruti,Baleno ,47.93k,Petrol,Auto,TS-03,₹4.70 lakh
2020,Maruti,Celerio ,35.71k,Petrol,Auto,TS-10,₹4.50 lakh
2015,Maruti,Swift ,65.38k,Petrol,Manual,TS-07,₹4.00 lakh
2018,Hyundai,Grand i10,31.00k,Petrol,Manual,TS-08,₹4.19 lakh
2019,Hyundai,Grand i10,77.96k,Petrol,Manual,TS-05,₹3.94 lakh
2017,Hyundai,Elite i20,67.58k,Petrol,Manual,TS-08,₹4.29 lakh
2014,Maruti,Swift ,55.97k,Petrol,Manual,AP-28,₹3.39 lakh
2016,Hyundai,Grand i10,32.35k,Petrol,Manual,TS-07,₹3.33 lakh
2019,Maruti,Alto K10,23.27k,Petrol,Manual,TS-09,₹3.03 lakh
2019,Maruti,S PRESSO,14.52k,Petrol,Auto,TS-09,₹3.68 lakh
2018,Maruti,Celerio ,73.97k,Petrol,Auto,TS-08,₹3.61 lakh
2018,Maruti,IGNIS ,95.06k,Petrol,Manual,TS-10,₹3.40 lakh
2019,Hyundai,Grand i10,76.68k,Petrol,Auto,TS-07,₹4.39 lakh
2017,Nissan,Micra ,95.00k,Petrol,Auto,TS-08,₹3.20 lakh
2018,Hyundai,Elite i20,75.34k,Petrol,Auto,TS-11,₹5.26 lakh
2017,Maruti,Celerio ,93.11k,Petrol,Auto,TS-08,₹3.40 lakh
2019,Maruti,Alto 800,51.35k,Petrol,Manual,TS-11,₹2.95 lakh
2015,Hyundai,Grand i10,74.44k,Petrol,Auto,TS-08,₹3.39 lakh
2014,Hyundai,Grand i10,39.54k,Petrol,Auto,TS-09,₹3.70 lakh
2014,Maruti,Alto K10,24.00k,Petrol,Manual,TS-09,₹2.30 lakh
2012,Ford,Figo ,94.15k,Diesel,Manual,AP-36,₹1.34 lakh
2012,Maruti,Alto 800,98.92k,Petrol,Manual,AP-28,₹1.23 lakh
2016,Renault,Kwid ,1.0l,Petrol,Manual,TS-11,₹1.65 lakh
2013,Maruti,Swift ,1.6l,Diesel,Manual,AP-22,₹2.87 lakh
2014,Hyundai,i10 ,1.1l,Petrol,Manual,TS-06,₹2.40 lakh
2014,Hyundai,i10 ,86.41k,Petrol,Manual,TS-07,₹2.38 lakh
2015,Maruti,Wagon R,96.82k,Petrol,Auto,TS-07,₹2.50 lakh
2012,Hyundai,i10 ,34.96k,Petrol,Manual,DL-4C,₹1.19 lakh
2017,Renault,Kwid ,1.5l,Petrol,Manual,TS-08,₹2.23 lakh
2017,Renault,Kwid ,1.0l,Petrol,Auto,TS-07,₹2.71 lakh
2015,Hyundai,i20 Active,1.5l,Petrol,Manual,TS-15,₹3.00 lakh
2021,Maruti,Alto ,62.80k,Petrol,Manual,TS-07,₹3.58 lakh
2013,Hyundai,i10 ,56.15k,Petrol,Manual,AP-11,₹2.41 lakh
2013,Toyota,Etios Liva,1,Diesel,Manual,AP-28,₹2.57 lakh
2011,Toyota,Etios Liva,99.73k,Petrol,Manual,AP-09,₹2.37 lakh
2020,Renault,Kwid ,26.72k,Petrol,Manual,AP-39,₹3.12 lakh
2016,Maruti,Swift ,1.2l,Petrol,Manual,AP-16,₹4.07 lakh
2021,Tata,ALTROZ ,41.76k,Petrol,Manual,TS-15,₹4.53 lakh
2017,Maruti,Celerio ,46.24k,Petrol,Auto,KA-01,₹4.57 lakh
2019,Maruti, Wagon-R,25.00k,Petrol,Manual,TS-08,₹4.19 lakh
2017,Maruti,Wagon R,35.73k,Petrol,Manual,TS-09,₹3.50 lakh
2020,Hyundai,GRAND I10,25.06k,Petrol,Manual,MH-31,₹4.91 lakh
2016,Hyundai,Grand i10,1.4l,Diesel,Manual,TS-16,₹2.59 lakh
2016,Maruti,Ritz ,95.33k,Diesel,Manual,TS-11,₹1.70 lakh
2016,Hyundai,Eon ,51.36k,Petrol,Manual,TS-09,₹2.10 lakh
2012,Hyundai,i20 ,61.92k,Petrol,Manual,KA-53,₹3.42 lakh
2017,Hyundai,Grand i10,55.75k,Petrol,Manual,TS-03,₹3.89 lakh
2014,Hyundai,Grand i10,95.60k,Petrol,Manual,TS-11,₹3.29 lakh
2017,Maruti,IGNIS ,22.42k,Petrol,Auto,TS-07,₹4.10 lakh
2012,Hyundai,Eon ,78.97k,Petrol,Manual,AP-36,₹1.54 lakh
2024,Toyota,Glanza ,40.95k,Petrol,Manual,TG-08,₹5.67 lakh
2017,Hyundai,Eon ,95.00k,Petrol,Manual,TS-07,₹2.63 lakh
2017,Hyundai,Grand i10,82.12k,Petrol,Manual,TS-07,₹3.99 lakh
2011,Maruti,Ritz ,1.6l,Petrol,Manual,AP-29,₹2.13 lakh
2015,Hyundai,Grand i10,75.57k,Petrol,Manual,AP-31,₹3.10 lakh
2016,Maruti,Celerio ,1.1l,Petrol,Auto,TS-08,₹3.78 lakh
2015,Hyundai,Grand i10,93.20k,Petrol,Manual,TS-07,₹3.28 lakh
2015,Hyundai,Grand i10,97.92k,Petrol,Manual,TS-09,₹3.59 lakh
2017,Maruti,Baleno ,79.62k,Petrol,Manual,TS-07,₹4.52 lakh
2012,Maruti,Swift ,94.84k,Diesel,Manual,AP-28,₹2.52 lakh
2023,Maruti,FRONX ,25.33k,Petrol,Manual,TS-07,₹6.74 lakh
2015,Hyundai,Elite i20,1.2l,Diesel,Manual,TS-07,₹4.67 lakh
2012,Maruti,Alto ,1.2l,Petrol,Manual,AP-28,₹1.17 lakh
2011,Maruti,Alto ,88.53k,Petrol,Manual,KA-03,₹1.70 lakh
2019,Datsun,Go Plus,96.09k,Petrol,Manual,TS-08,₹2.57 lakh
2020,Hyundai, SANTRO,1.6l,Petrol,Auto,TS-01,₹3.90 lakh
2021,Maruti,Baleno ,1.2l,Petrol,Manual,TS-08,₹4.99 lakh
2012,Hyundai,Eon ,56.12k,Petrol,Manual,DL-8C,₹0.89 lakh
2015,Maruti,Alto 800,38.39k,Petrol,Manual,TS-09,₹2.19 lakh
2022,Tata,ALTROZ ,40.43k,Petrol,Auto,TS-08,₹7.20 lakh
2021,Maruti,Baleno ,91.84k,Petrol,Manual,TS-21,₹5.93 lakh
2013,Maruti,Alto K10,78.15k,Petrol,Manual,AP-10,₹1.99 lakh
2014,Maruti,Alto 800,86.60k,Petrol,Manual,TS-08,₹1.96 lakh
2015,Hyundai,Eon ,61.96k,Petrol,Manual,TS-13,₹1.28 lakh
2015,Maruti,Wagon R,1.6l,Petrol,Manual,TS-15,₹2.76 lakh
2014,Maruti,Alto 800,60.60k,Petrol,Manual,TN-05,₹1.70 lakh
2020,Hyundai,GRAND I10,31.27k,Petrol,Auto,TS-28,₹4.69 lakh
2013,Maruti,Alto 800,81.05k,Petrol,Manual,AP-28,₹1.64 lakh
2014,Maruti,Alto 800,1.1l,Petrol,Manual,TS-08,₹2.27 lakh
2019,Datsun,Go Plus,19.67k,Petrol,Manual,TS-30,₹2.74 lakh
2021,Volkswagen,Polo ,59.78k,Petrol,Auto,AP-39,₹7.44 lakh
2013,Honda,Brio ,92.08k,Petrol,Manual,AP-28,₹1.50 lakh
2011,Ford,Figo ,64.11k,Diesel,Manual,AP-09,₹1.01 lakh
2013,Maruti,Wagon R,1.1l,Petrol,Manual,AP-09,₹2.07 lakh
2012,Maruti,Swift ,1.5l,Diesel,Manual,AP-27,₹2.56 lakh
2012,Ford,Figo ,1.7l,Diesel,Manual,AP-23,₹1.23 lakh
2016,Maruti,Alto 800,85.76k,Petrol,Manual,TS-08,₹2.01 lakh
2018,Maruti,Alto 800,61.15k,Petrol,Manual,TS-10,₹2.42 lakh
2012,Maruti,Swift ,1.1l,Diesel,Manual,AP-31,₹2.39 lakh
2013,Hyundai,i20 ,63.31k,Petrol,Manual,DL-3C,₹1.94 lakh
2017,Renault,Kwid ,87.96k,Petrol,Manual,TN-30,₹2.16 lakh
2012,Hyundai,i20 ,1.5l,Diesel,Manual,AP-28,₹1.64 lakh
2015,Maruti,Alto 800,51.53k,Petrol,Manual,TS-13,₹2.13 lakh
2016,Volkswagen,Polo ,1.3l,Diesel,Manual,TS-07,₹3.09 lakh
2013,Maruti,Alto K10,84.45k,Petrol,Manual,AP-28,₹1.63 lakh
2018,Hyundai,Elite i20,90.31k,Diesel,Manual,TS-13,₹3.60 lakh
2012,Maruti,Ritz ,99.34k,Diesel,Manual,AP-28,₹1.72 lakh
2017,Maruti,Alto K10,52.76k,Petrol,Manual,TS-07,₹2.15 lakh
2015,Toyota,Etios Liva,1.9l,Diesel,Manual,TS-36,₹2.80 lakh
2017,Datsun,Redi Go,30.76k,Petrol,Manual,TS-09,₹1.60 lakh
2018,Maruti,Alto 800,68.24k,Petrol,Manual,TS-22,₹2.50 lakh
2015,Maruti,Wagon R,84.18k,Petrol,Manual,TS-07,₹2.60 lakh
2017,Renault,Kwid ,1.0l,Petrol,Manual,TS-09,₹2.30 lakh
2018,Renault,Kwid ,49.81k,Petrol,Manual,AP-37,₹2.60 lakh
2018,Maruti,Swift ,66.95k,Petrol,Manual,TS-09,₹5.17 lakh
2018,Maruti,Alto 800,67.33k,Petrol,Manual,TS-11,₹2.44 lakh
2012,Ford,Figo ,1.4l,Diesel,Manual,KA-51,₹2.10 lakh
2013,Maruti,Wagon R,1.2l,Petrol,Manual,AP-37,₹2.38 lakh
2012,Hyundai,i10 ,1.0l,Petrol,Manual,AP-09,₹1.97 lakh
2013,Maruti,Alto 800,1.3l,Petrol,Manual,AP-09,₹1.39 lakh
2015,Honda,Brio ,65.39k,Petrol,Manual,TS-13,₹2.15 lakh
2012,Maruti,Wagon R,1.7l,Petrol,Manual,AP-09,₹1.49 lakh
2018,Hyundai,Eon ,27.34k,Petrol,Manual,TS-07,₹2.85 lakh
2012,Hyundai,Eon ,71.16k,Petrol,Manual,AP-09,₹1.25 lakh
2019,Maruti,Celerio ,85.28k,Petrol,Manual,TG-07,₹2.36 lakh
2017,Maruti,Swift ,63.35k,Petrol,Manual,TS-09,₹3.38 lakh
2015,Hyundai,Grand i10,1.4l,Petrol,Manual,TS-07,₹3.32 lakh
2010,Ford,Figo ,1.2l,Diesel,Manual,TS-10,₹0.91 lakh
2014,Hyundai,Grand i10,60.57k,Petrol,Manual,AP-28,₹3.10 lakh
2013,Maruti,Swift ,74.37k,Petrol,Manual,AP-28,₹3.04 lakh
2012,Maruti,Ritz ,1.0l,Diesel,Manual,AP-10,₹2.08 lakh
2014,Maruti,Alto K10,65.64k,Petrol,Manual,TS-08,₹1.91 lakh
2011,Volkswagen,Polo ,1.3l,Diesel,Manual,AP-28,₹1.67 lakh
2013,Volkswagen,Polo ,1.2l,Petrol,Manual,AP-29,₹2.32 lakh
2018,Tata,Tiago ,1.1l,Petrol,Manual,TS-01,₹3.64 lakh
2014,Maruti,Swift ,57.66k,Petrol,Manual,UP-32,₹2.22 lakh
2018,Datsun,Redi Go,72.87k,Petrol,Auto,TS-08,₹2.20 lakh
2012,Hyundai,i10 ,76.41k,Petrol,Manual,AP-29,₹1.93 lakh
2012,Ford,Figo ,1.1l,Petrol,Manual,AP-28,₹1.51 lakh
2018,Maruti,Alto K10,81.57k,Petrol,Manual,TS-07,₹2.26 lakh
2018,Renault,Kwid ,68.43k,Petrol,Auto,TS-11,₹2.50 lakh
2014,Maruti,Swift ,1.3l,Petrol,Manual,TS-07,₹3.73 lakh
2012,Maruti,Ritz ,1.2l,Diesel,Manual,AP-09,₹2.08 lakh
2011,Volkswagen,Polo ,1.2l,Diesel,Manual,AP-29,₹1.50 lakh
2015,Maruti,Celerio ,1.2l,Diesel,Manual,HR-30,₹1.66 lakh
2010,Skoda,Fabia ,74.34k,Diesel,Manual,AP-27,₹1.62 lakh
2011,Ford,Figo ,2.0l,Diesel,Manual,AP-09,₹1.00 lakh
2011,Ford,Figo ,82.85k,Petrol,Manual,AP-10,₹1.00 lakh
2011,Hyundai,Santro Xing,1.1l,Petrol,Manual,AP-11,₹1.37 lakh
2021,Maruti,Baleno ,44.09k,Petrol,Auto,TS-08,₹5.96 lakh
2023,Hyundai, I20,44.82k,Petrol,Auto,TS-09,₹9.10 lakh
2017,Maruti,Wagon R,13.86k,Petrol,Auto,TS-12,₹3.38 lakh
2020,Renault,Kwid ,26.18k,Petrol,Manual,TS-13,₹2.75 lakh
2015,Maruti,Swift ,1.3l,Diesel,Manual,TS-07,₹3.95 lakh
2013,Maruti,Alto K10,88.39k,Petrol,Manual,AP-28,₹1.63 lakh
2017,Datsun,Redi Go,50.12k,Petrol,Manual,TS-07,₹1.84 lakh
2015,Maruti,Celerio ,71.89k,Petrol,Auto,TS-09,₹2.51 lakh
2013,Hyundai,i20 ,2.6l,Diesel,Manual,AP-28,₹2.17 lakh
2013,Maruti,A Star,76.61k,Petrol,Auto,AP-09,₹1.86 lakh
2020,Maruti,Baleno ,38.08k,Petrol,Auto,TS-09,₹4.95 lakh
2010,Tata,Nano ,31.25k,Petrol,Manual,AP-10,₹0.45 lakh
2010,Hyundai,i20 ,78.89k,Diesel,Manual,AP-28,₹1.80 lakh
2012,Hyundai,i10 ,22.26k,Petrol,Manual,AP-11,₹1.93 lakh
2022,Hyundai, I20,60.06k,Diesel,Manual,TS-07,₹6.61 lakh
2012,Hyundai,Santro Xing,1.2l,Petrol,Manual,AP-16,₹1.63 lakh
2013,Maruti,Wagon R,75.06k,Petrol,Manual,AP-28,₹2.13 lakh
2018,Renault,Kwid ,75.00k,Petrol,Auto,TS-08,₹2.76 lakh
2017,Renault,Kwid ,27.66k,Petrol,Auto,TS-13,₹2.74 lakh
2016,Maruti,Alto K10,67.70k,Petrol,Manual,TS-07,₹2.35 lakh
2024,Tata,TIAGO EV,10.60k,Electric,Auto,TG-08,₹7.59 lakh
2018,Datsun,Redi Go,39.56k,Petrol,Auto,TS-08,₹2.36 lakh
2015,Maruti,Wagon R,51.69k,Petrol,Manual,TS-08,₹2.80 lakh
2015,Hyundai,i10 ,75.09k,Petrol,Manual,TS-09,₹2.45 lakh
2010,Maruti,Alto ,63.17k,Petrol,Manual,AP-29,₹0.85 lakh
2013,Hyundai,i20 ,1.2l,Petrol,Manual,TS-13,₹2.20 lakh
2011,Hyundai,Santro Xing,86.28k,Petrol,Manual,AP-29,₹1.37 lakh
2010,Hyundai,i10 ,94.41k,Petrol,Manual,AP-13,₹1.65 lakh
2012,Hyundai,Eon ,73.80k,Petrol,Manual,KA-53,₹1.84 lakh
2020,Maruti,Swift ,1.1l,Petrol,Auto,TS-08,₹5.76 lakh
2012,Hyundai,i10 ,91.32k,Petrol,Manual,AP-28,₹1.91 lakh
2012,Hyundai,i20 ,80.90k,Petrol,Manual,AP-29,₹2.20 lakh
2010,Tata,Indica Vista,0,Diesel,Manual,AP-09,₹1.16 lakh
2012,Renault,Pulse ,1.0l,Diesel,Manual,AP-12,₹1.24 lakh
2014,Hyundai,i20 ,1.5l,Diesel,Manual,TS-11,₹2.51 lakh
2013,Maruti,Swift ,70.86k,Petrol,Manual,AP-09,₹3.00 lakh
2020,Tata,Tiago ,77.33k,Petrol,Manual,TS-09,₹3.86 lakh
2011,Hyundai,i10 ,68.76k,Petrol,Manual,AP-28,₹2.08 lakh
2018,Renault,Kwid ,73.32k,Petrol,Manual,TS-15,₹2.50 lakh
2011,Chevrolet,Spark ,87.16k,Petrol,Manual,AP-11,₹0.70 lakh
2015,Maruti,Swift ,1.2l,Diesel,Manual,HR-51,₹2.51 lakh
2024,Maruti,Swift ,21.06k,Petrol,Manual,TG-15,₹6.28 lakh
2020,Maruti,Swift ,76.17k,Petrol,Manual,TS-26,₹5.73 lakh
2012,Hyundai,i20 ,1.2l,Diesel,Manual,AP-28,₹2.48 lakh
2012,Hyundai,i10 ,96.67k,Petrol,Auto,AP-28,₹1.86 lakh
2011,Honda,Brio ,82.08k,Petrol,Manual,AP-12,₹1.33 lakh
2017,Hyundai,Elite i20,81.82k,Diesel,Manual,TS-08,₹5.16 lakh
2017,Hyundai,Eon ,74.97k,Petrol,Manual,TS-31,₹2.50 lakh
2011,Nissan,Micra ,1.5l,Diesel,Manual,AP-11,₹1.11 lakh
2012,Hyundai,i10 ,99.41k,Petrol,Manual,AP-28,₹1.64 lakh
2021,Hyundai, I20,1.6l,Petrol,Manual,TS-08,₹5.13 lakh
2010,Maruti,Wagon R,1.1l,Petrol,Manual,AP-28,₹1.21 lakh
2011,Maruti,Swift ,1.7l,Diesel,Manual,AP-10,₹1.93 lakh
2016,Maruti,Alto K10,76.24k,Petrol,Manual,TS-19,₹2.95 lakh
2011,Hyundai,i10 ,97.03k,Petrol,Manual,AP-11,₹1.71 lakh
2011,Ford,Figo ,1.6l,Diesel,Manual,AP-23,₹1.04 lakh
2012,Hyundai,i20 ,30.96k,Petrol,Manual,AP-29,₹2.58 lakh
2010,Hyundai,i10 ,78.44k,Petrol,Manual,AP-28,₹1.65 lakh
2012,Maruti,Swift ,81.66k,Diesel,Manual,AP-11,₹2.65 lakh
2023,MG,COMET ,51.53k,Electric,Auto,TS-08,₹7.15 lakh
2021,Renault,Kiger ,42.90k,Petrol,Manual,TS-08,₹4.80 lakh
2014,Hyundai,i10 ,36.66k,Petrol,Manual,TS-09,₹3.10 lakh
2021,Hyundai, I20,74.40k,Petrol,Manual,AP-39,₹5.38 lakh
2011,Fiat,Grand Punto,1.3l,Diesel,Manual,KA-51,₹1.10 lakh
2022,Hyundai,GRAND I10,59.86k,Petrol,Manual,AP-39,₹5.54 lakh
2013,Maruti,Swift ,1.3l,Diesel,Manual,AP-01,₹2.00 lakh
2011,Hyundai,i10 ,61.02k,Petrol,Manual,KA-53,₹2.02 lakh
2011,Maruti,Alto K10,1.1l,Petrol,Manual,AP-29,₹1.33 lakh
2012,Maruti,Alto ,47.57k,Petrol,Manual,AP-29,₹1.62 lakh
2014,Volkswagen,Polo ,78.99k,Petrol,Auto,TS-09,₹4.50 lakh
2018,Maruti,Alto K10,64.03k,Petrol,Auto,TS-08,₹2.87 lakh
2012,Maruti,Alto K10,55.87k,Petrol,Manual,AP-09,₹1.28 lakh
2012,Hyundai,i20 ,75.52k,Petrol,Manual,AP-28,₹2.11 lakh
2017,Maruti,Alto K10,92.59k,Petrol,Auto,TS-08,₹2.50 lakh
2012,Ford,Figo ,1.0l,Diesel,Manual,TS-09,₹1.10 lakh
2010,Maruti,Alto K10,1.4l,Petrol,Manual,AP-28,₹1.17 lakh
2011,Hyundai,i20 ,1.7l,Petrol,Manual,AP-23,₹1.80 lakh
2021,Maruti,Swift ,70.77k,Petrol,Manual,AP-39,₹5.41 lakh
