Year,Car,Model,Kilometers,Fuel,Transmission,City Code,Price
2017,Maruti,Baleno ,73.32k,Diesel,Manual,KA-32,₹5.48 lakh
2017,Datsun,Redi Go,51.44k,Petrol,Manual,KA-01,₹1.83 lakh
2015,Maruti,Alto 800,88.61k,Petrol,Manual,KA-51,₹1.85 lakh
2022,Tata,Tiago ,64.45k,Petrol,Auto,KA-17,₹4.90 lakh
2019,Renault,Kwid ,44.01k,Petrol,Manual,KA-04,₹2.45 lakh
2020,Hyundai,GRAND I10,29.64k,Petrol,Auto,KA-50,₹5.68 lakh
2015,Maruti,Wagon R,81.64k,Petrol,Manual,KA-51,₹2.41 lakh
2012,Hyundai,i20 ,1.4l,Diesel,Manual,KA-01,₹2.55 lakh
2016,Maruti,Wagon R,49.80k,Petrol,Auto,KA-03,₹2.74 lakh
2013,Hyundai,i10 ,69.77k,Petrol,Manual,KA-51,₹1.90 lakh
2015,Hyundai,Elite i20,80.19k,Petrol,Manual,KA-50,₹4.15 lakh
2014,Hyundai,Elite i20,92.76k,Petrol,Manual,KA-01,₹4.66 lakh
2019,Hyundai,Grand i10,76.31k,Petrol,Manual,KA-32,₹3.74 lakh
2018,Maruti,Swift ,66.42k,Petrol,Manual,KA-05,₹4.60 lakh
2013,Maruti,Alto 800,19.96k,Petrol,Manual,KA-27,₹1.99 lakh
2019,Maruti,Celerio ,62.71k,Petrol,Auto,KA-03,₹3.59 lakh
2016,Renault,Kwid ,51.56k,Petrol,Manual,KA-25,₹2.04 lakh
2022,Maruti,S PRESSO,67.05k,Petrol,Manual,KA-38,₹3.33 lakh
2018,Maruti,IGNIS ,53.17k,Petrol,Auto,KA-51,₹4.24 lakh
2017,Maruti,Wagon R,72.20k,CNG,Auto,KA-28,₹2.91 lakh
2015,Hyundai,i10 ,83.37k,Petrol,Manual,KA-02,₹2.95 lakh
2013,Maruti,Alto K10,98.12k,Petrol,Manual,KA-51,₹1.48 lakh
2021,Maruti,Baleno ,19.04k,Petrol,Manual,KA-05,₹6.32 lakh
2018,Maruti,Alto 800,25.86k,Petrol,Manual,KA-07,₹2.68 lakh
2016,Maruti,Celerio ,94.59k,Petrol,Auto,KA-53,₹2.70 lakh
2018,Maruti,Baleno ,92.67k,Petrol,Manual,KA-09,₹4.84 lakh
2019,Maruti,Alto ,14.05k,Petrol,Manual,KA-03,₹2.52 lakh
2025,Maruti,Swift ,5.59k,Petrol,Auto,KA-05,₹8.83 lakh
2015,Maruti,Swift ,65.22k,Diesel,Manual,KA-53,₹4.65 lakh
2015,Hyundai,Grand i10,50.22k,Petrol,Auto,KA-02,₹4.25 lakh
2019,Hyundai,Elite i20,50.51k,Petrol,Manual,KA-02,₹5.58 lakh
2018,Honda,Jazz ,99.31k,Petrol,Auto,KA-05,₹4.00 lakh
2013,Chevrolet,Sail UVA,85.78k,Diesel,Manual,KA-53,₹2.44 lakh
2017,Honda,Jazz ,54.40k,Petrol,Auto,KA-03,₹4.12 lakh
2014,Maruti,Celerio ,90.53k,Petrol,Auto,KA-01,₹2.56 lakh
2019,Maruti,IGNIS ,34.69k,Petrol,Auto,KA-04,₹4.70 lakh
